No.,VCC,M_V,M_Z,R_P,R_3D,L_z,M,N_GC,SN,SN_z,T,SL,SM,SN_z_blue,SN_z_red,T_blue,T_red,f_red,
59,1355,-17.51,-18.16,0.5,0.52 +- 0.63,1.29,1.82 +- 0.35,10.8 +- 5.6,1.07 +- 0.56,0.59 +- 0.30,5.9 +- 3.3,0.05 +- 0.01,0.07 +- 0.02,0.53 +- 0.26,0.06 +- 0.15,5.3 +- 2.8,0.6 +- 1.6,0.1,
60,1087,-17.79,-18.64,0.25,0.34 +- 0.46,1.84,3.29 +- 1.07,66.0 +- 9.5,5.07 +- 0.73,2.31 +- 0.33,20.0 +- 7.1,0.87 +- 0.03,0.73 +- 0.24,2.17 +- 0.31,0.14 +- 0.12,18.8 +- 6.7,1.2 +- 1.1,0.06,
61,1297,-17.67,-18.75,0.04,0.23 +- 0.46,1.95,3.96 +- 0.62,4 +- 11,0.42 +- 1.00,0.16 +- 0.37,1.2 +- 3.0,0.15 +- 0.02,0.12 +- 0.02,0.11 +- 0.30,0.05 +- 0.22,0.9 +- 2.4,0.4 +- 1.7,0.31,
62,1861,-17.6,-18.34,0.8,1.15 +- 0.45,1.63,2.88 +- 1.00,37.6 +- 7.4,3.44 +- 0.68,1.73 +- 0.34,13.0 +- 5.2,0.69 +- 0.07,0.49 +- 0.18,1.26 +- 0.29,0.47 +- 0.18,9.5 +- 3.9,3.5 +- 1.8,0.27,
63,543,-17.41,-18.19,0.91,1.44 +- 0.44,1.27,2.19 +- 0.65,18.1 +- 5.5,1.97 +- 0.60,0.96 +- 0.29,8.3 +- 3.5,0.15 +- 0.03,0.14 +- 0.05,0.96 +- 0.27,0.00 +- 0.11,8.3 +- 3.4,0.0 +- 0.9,0,
64,1431,-17.39,-18.25,0.34,0.90 +- 0.45,1.37,2.20 +- 0.74,60.6 +- 9.3,6.72 +- 1.03,3.03 +- 0.46,27.5 +- 10.2,0.78 +- 0.04,0.70 +- 0.24,2.57 +- 0.41,0.45 +- 0.21,23.4 +- 8.7,4.1 +- 2.4,0.15,
65,1528,-17.16,-18.04,0.34,0.70 +- 0.45,1.06,1.63 +- 0.48,40.7 +- 7.6,5.57 +- 1.04,2.46 +- 0.46,24.9 +- 8.7,0.66 +- 0.04,0.69 +- 0.21,2.24 +- 0.42,0.22 +- 0.19,22.7 +- 7.9,2.2 +- 2.0,0.09,
66,1695,-17.49,-18.32,0.43,0.46 +- 0.54,1.3,1.69 +- 0.78,14.4 +- 5.7,1.45 +- 0.58,0.68 +- 0.27,8.5 +- 5.2,0.09 +- 0.03,0.10 +- 0.06,0.48 +- 0.22,0.20 +- 0.15,6.0 +- 3.9,2.5 +- 2.2,0.29,
67,1833,-17.13,-17.89,1.22,1.33 +- 0.45,0.97,0.86 +- 0.48,18.1 +- 5.5,2.55 +- 0.77,1.26 +- 0.38,21.1 +- 13.5,0.15 +- 0.04,0.25 +- 0.16,0.87 +- 0.32,0.39 +- 0.22,14.6 +- 9.8,6.5 +- 5.2,0.31,
68,437,-17.82,-18.69,1.62,1.65 +- 0.48,1.92,2.80 +- 1.25,42.1 +- 7.9,3.13 +- 0.59,1.40 +- 0.26,15.0 +- 7.2,0.46 +- 0.04,0.34 +- 0.15,1.32 +- 0.24,0.08 +- 0.10,14.1 +- 6.8,0.9 +- 1.2,0.06,
69,2019,-17.36,-18.18,1.08,1.13 +- 0.48,1.17,1.02 +- 0.72,23.9 +- 6.1,2.72 +- 0.69,1.28 +- 0.33,23.5 +- 17.8,0.72 +- 0.05,1.19 +- 0.85,1.28 +- 0.31,0.00 +- 0.11,23.5 +- 17.6,0.0 +- 2.1,0,
70,33,-16.39,-17.01,1.48,2.19 +- 0.57,0.46,0.43 +- 0.25,2.2 +- 4.2,0.61 +- 1.17,0.34 +- 0.66,5.1 +- 10.1,-0.13 +- 0.07,-0.21 +- 0.16,0.22 +- 0.53,0.12 +- 0.38,3.3 +- 8.1,1.8 +- 5.7,0.35,
71,200,-17.12,-17.8,1.02,1.70 +- 0.59,0.95,1.34 +- 0.49,15.5 +- 5.8,2.21 +- 0.83,1.18 +- 0.44,11.5 +- 6.0,0.05 +- 0.05,0.05 +- 0.06,1.18 +- 0.40,0.00 +- 0.19,11.5 +- 5.8,0.0 +- 1.8,0,
72,571,-17.32,-18.29,1.4,7.27 +- 1.01,1.07,0.98 +- 0.65,10.9 +- 5.6,1.29 +- 0.66,0.53 +- 0.27,11.2 +- 9.4,0.14 +- 0.07,0.17 +- 0.20,0.53 +- 0.24,0.00 +- 0.13,11.2 +- 9.0,0.0 +- 2.7,0,
