NGVS+2-1.l.z,61,176,2598,1.94E-01
NGVS+2-1.s.g,3.49,15,30.4,2.15E+00
NGVS+2-1.s.i,1.36,19,50.7,5.53E+00
NGVS+2-1.s.u,4.66,12,20.8,1.61E+00
NGVS+2-1.s.z,0.89,25,85,8.42E+00
NGVS+2-2.l.g,186,110,1616.9,4.02E-02
NGVS+2-2.l.i,69,125,2085.1,1.08E-01
NGVS+2-2.l.u,122,66,265.2,1.35E-01
NGVS+2-2.l.z,58,183,2947.9,1.95E-01
NGVS+2-2.s.g,3.61,22,68.8,2.08E+00
NGVS+2-2.s.i,1.36,19,49.4,5.53E+00
NGVS+2-2.s.u,3.86,17,52.3,1.56E+00
NGVS+2-2.s.z,0.87,33,153.8,8.65E+00
NGVS+2-3.l.g,188,112,1698.5,3.99E-02
NGVS+2-3.l.i,68,139,2580.4,1.09E-01
NGVS+2-3.l.u,131,73,302.4,1.36E-01
NGVS+2-3.l.z,51,164,2479.2,2.10E-01
NGVS+2-3.s.g,3.44,15,30.6,2.18E+00
NGVS+2-3.s.z,0.87,26,92.7,8.63E+00
NGVS+2-4.l.g,189,107,1552.8,3.97E-02
NGVS+2-4.l.i,68,140,2618.4,1.09E-01
NGVS+2-4.l.u,114,65,257.5,1.44E-01
NGVS+2-4.l.z,52,157,2294.9,2.08E-01
NGVS+2-4.s.g,3.45,15,31.2,2.17E+00
NGVS+2-4.s.z,0.88,26,96.8,8.54E+00
NGVS+2-5.l.g,191,109,1609.1,3.92E-02
NGVS+2-5.l.i,69,132,2341.9,1.08E-01
NGVS+2-5.l.u,115,67,275.4,1.43E-01
NGVS+2-5.l.z,52,159,2344.2,2.08E-01
NGVS+2-5.s.g,3.61,13,23.3,2.08E+00
NGVS+2-5.s.z,0.87,24,80.9,8.58E+00
NGVS+2-6.l.g,194,102,1397.7,3.86E-02
NGVS+2-6.l.i,71,97,1257.2,1.06E-01
NGVS+2-6.l.u,117,68,286.1,1.41E-01
NGVS+2-6.l.z,58,188,3211.1,1.89E-01
NGVS+2-6.s.g,3.57,14,28.4,2.10E+00
NGVS+2-6.s.z,0.91,24,83.1,8.20E+00
NGVS+3+0.l.g,196,96,1242.6,3.82E-02
NGVS+3+0.l.i,72,117,1846.9,1.04E-01
NGVS+3+0.l.r,133,143,1963.9,7.85E-02
NGVS+3+0.l.u,127,59,217.7,1.30E-01
NGVS+3+0.l.z,56,175,2792.7,1.98E-01
NGVS+3+0.s.g,3.64,14,29.9,2.06E+00
NGVS+3+0.s.i,1.38,38,196.2,5.45E+00
NGVS+3+0.s.u,5.04,10,15.5,1.49E+00
NGVS+3+0.s.z,0.88,25,84.8,8.48E+00
NGVS+3+1.l.g,190,99,1323.2,3.93E-02
NGVS+3+1.l.i,70,118,1866.4,1.06E-01
NGVS+3+1.l.u,110,65,257.4,1.49E-01
NGVS+3+1.l.z,61,188,2959.4,1.96E-01
NGVS+3+1.s.g,3.67,13,24,2.05E+00
NGVS+3+1.s.i,1.38,20,56.9,5.42E+00
NGVS+3+1.s.z,0.93,21,62.8,8.06E+00
NGVS+3+2.l.g,189,100,1355.4,3.96E-02
NGVS+3+2.l.i,69,116,1817.7,1.08E-01
NGVS+3+2.l.u,115,65,258.4,1.43E-01
NGVS+3+2.l.z,52,200,3834.2,2.01E-01
NGVS+3+2.s.g,3.55,14,28.8,2.11E+00
NGVS+3+2.s.i,1.39,16,36.6,5.41E+00
